Name
Gerard Butler
Paul Walker
Karl Urban
Logan Lerman
Dave Franco
Tom Hiddleston
Peter Dinklage
Taylor Kitsch
Edward Norton
Guy Pearce
Mark Ruffalo
Mickey Rourke
Frank Langella
Eddie Redmayne
David Strathairn
Terrence Howard
Ralph Fiennes
Tom Wilkinson
Richard Farnsworth
Nick Nolte
AnnaSophia Robb
Gemma Arterton
Olivia Wilde
Isla Fisher
Shailene Woodley
Rebel Wilson
Emma Roberts
Amber Heard
Teresa Palmer
Saoirse Ronan
Elizabeth Banks
Ida Lupino
Natalie Dormer
Brittany Snow
Kate Mara
Julianne Hough
Lily Collins
Cobie Smulders
Alice Eve
Jamie Chung
Noomi Rapace
Blake Lively
Maggie Grace
Jessica Biel
Eva Green
Peter Fonda
Woody Harrelson
Billy Bob Thornton
Idris Elba
Nigel Hawthorne
Laurence Fishburne
Stephen Rea
Warren Beatty
Richard Harris
John Cusack
Kenneth Branagh
Edward James Olmos
Max von Sydow
Bruce Dern
Bob Hoskins
James Woods
John Hawkes
James Garner
Sam Waterston
Tom Hulce
Albert Finney
Tom Conti
Tom Courtenay
Dudley Moore
John Hurt
Kat Dennings
Priyanka Chopra
Emmanuelle Riva
Greta Gerwig
Brie Larson
Jessica Lucas
Maria Falconetti
Greer Garson
Rosalind Russell
Raquel Welch
Linda Fiorentino
Gabourey Sidibe
Judy Davis
Mia Farrow
Audrey Tautou
Jeanne Moreau
Jane Wyman
Gena Rowlands
Lesley Manville
Elizabeth Olsen
Nastassja Kinski
Melanie Laurent
Whitney Houston
Felicity Huffman
Imelda Staunton
Oscar Isaac
Jon Heder
Miles Teller
Daniel Brehl
James Gandolfini
Michael B. Jordan
Anthony Perkins
David Thewlis
Klaus Kinski
Malcolm McDowell
Ray Winstone
Jean-Paul Belmondo
Andy Serkis
Matthew Broderick
Dennis Hopper
Michael Rooker
Vincent Gallo
Kevin Spacey
Vincent Cassel
J.K. Simmons
Boris Karloff
Peter Lorre
Matthew McConaughey
Paddy Considine
Ryan Phillippe
Kerry Washington
Carrie-Anne Moss
Janet Leigh
Catalina Sandino Moreno
Samantha Morton
Keisha Castle-Hughes
Barbara Stanwyck
Joan Allen
Janet McTeer
Fernanda Montenegro
Kristin Scott Thomas
Brenda Blethyn
Elisabeth Shue
Miranda Richardson
Stockard Channing
Luise Rainer
Mary McDonnell
Lucille Ball
Laura Dern
Pauline Collins
Isabelle Adjani
Melanie Griffith
Sally Kirkland
Jane Alexander
Marsha Mason
Freddie Highmore
Michael J. Fox
John Travolta
Yun-Fat Chow
Seth MacFarlane
Jet Li
John Houseman
Chuck Norris
Jean-Claude Van Damme
Sam Rockwell
Takashi Shimura
Richard E. Grant
Leslie Nielsen
Simon Pegg
John Malkovich
Michael Shannon
Martin Sheen
Christopher Guest
Alan Rickman
Jackie Earle Haley
Gig Young
James Spader
Eric Bana
Romain Duris
Robert Shaw
Jacki Weaver
Berenice Bejo
Hailee Steinfeld
Jennifer Jason Leigh
Kathleen Quinlan
Taraji P. Henson
Amy Ryan
Ruby Dee
Jill Clayburgh
Adriana Barraza
Rinko Kikuchi
Catherine Keener
Charlotte Rampling
Sophie Okonedo
Patricia Clarkson
Shohreh Aghdashloo
Lindsay Lohan
Michelle Trachtenberg
Chloe Sevigny
Lynn Redgrave
Rachel Griffiths
Margot Robbie
Lili Taylor
Robin Weigert
Lake Bell
Claude Rains
Steve Buscemi
John Rhys-Davies
Jean-Louis Trintignant
Joseph Cotten
Barry Pepper
Erich von Stroheim
Patrick Wilson
Christopher Lloyd
Ben Foster
Joel McCrea
Min-sik Choi
Ewan McGregor
Gael Garcea Bernal
Bruno Ganz
Sean Astin
Irrfan Khan
Michael C. Hall
Roy Scheider
Casey Affleck
Gary Busey
Norman Reedus
Jeff Daniels
Stanley Tucci
Kiefer Sutherland
Michelle Yeoh
Lea Seydoux
Dakota Johnson
Julie Delpy
Linda Hamilton
Carrie Fisher
Pam Grier
Bjerk
Emily Browning
Juliette Lewis
Sarah Jessica Parker
Piper Laurie
Miley Cyrus
Lily Tomlin
Jane Seymour
Gloria Stuart
Talia Shire
Gal Gadot
Sue Lyon
Olivia Newton-John
Minnie Driver
Teri Garr
Keri Russell
Jean Seberg
Sarah Polley
Josh Brolin
Hal Holbrook
Djimon Hounsou
Matt Dillon
Alan Alda
Thomas Haden Church
Clive Owen
Ken Watanabe
Suraj Sharma
John C. Reilly
Michael Clarke Duncan
Haley Joel Osment
Greg Kinnear
Burt Reynolds
Robert Forster
Jason Schwartzman
William H. Macy
Armin Mueller-Stahl
Tim Roth
James Cromwell
Chazz Palminteri
Gary Sinise
Paul Scofield
Pete Postlethwaite
Hugo Weaving
Jada Pinkett Smith
Tatum O'Neal
Anna Faris
Hattie McDaniel
Famke Janssen
Rosamund Pike
Bonnie Hunt
Leslie Mann
Mindy Kaling
Thandie Newton
Amy Poehler
Amanda Peet
Julia Stiles
Maria Bello
Eva Mendes
Emily Blunt
Rose Byrne
Ashley Judd
Emilia Clarke
Christina Applegate
Nia Long
Felicity Jones
Tea Leoni
Alexandra Daddario
Jena Malone
Richard Gere
Nick Frost
Ray Liotta
Chris Rock
Jon Hamm
Neil Patrick Harris
Charlie Sheen
Mark Rylance
Andy Garcia
Michael Lerner
Graham Greene
Bruce Davison
Dan Aykroyd
Danny Aiello
River Phoenix
Dean Stockwell
Billy Crystal
John Goodman
Orlando Bloom
Stellan Skarsgerd
Alexander Skarsgerd
Mike Myers
Tyrese Gibson
Elijah Wood
Danny DeVito
Susan Hayward
Michelle Rodriguez
Sarah Michelle Gellar
Sandra Oh
Margot Kidder
Beyonce
Rebecca Hall
Piper Perabo
Courteney Cox
Parker Posey
Paula Patton
Michelle Monaghan
Claire Danes
Allison Janney
Kate Bosworth
Evan Rachel Wood
Mira Sorvino
Ziyi Zhang
Amanda Bynes
Lisa Kudrow
Brit Marling
Ellen DeGeneres
Sofea Vergara
Mandy Moore
Virginia Madsen
James Marsden
Tim Allen
Giovanni Ribisi
Rutger Hauer
Vince Vaughn
Brian Cox
Dennis Quaid
John Leguizamo
Michael Keaton
Billy Burke
Brendan Gleeson
Charles Bronson
Jonathan Pryce
Tobey Maguire
Michael Sheen
Justin Long
Jack Black
Mel Brooks
Pierce Brosnan
Sean Bean
Mahershala Ali
Josh Duhamel
Chadwick Boseman
Jon Favreau
Danny Glover
Freida Pinto
Hilary Duff
Mary Elizabeth Winstead
Jennifer Coolidge
Andrea Riseborough
Molly Ringwald
January Jones
Maya Rudolph
Sophie Marceau
Franka Potente
Claire Foy
Rashida Jones
Alicia Silverstone
Lillian Gish
Evangeline Lilly
Olivia Colman
Mireille Enos
Jennifer Love Hewitt
Emmy Rossum
Joey King
Ginnifer Goodwin
Christine Taylor
Vanessa Hudgens
Kate Capshaw
Abbie Cornish
Ian Holm
Nathan Lane
Cary Elwes
Martin Lawrence
Steve Coogan
Sacha Baron Cohen
Jeffrey Wright
Jackie Chan
Aaron Eckhart
Sam Worthington
Jack Davenport
Alfred Molina
Tim Curry
Mark Hamill
Brendan Fraser
Ice Cube
Liev Schreiber
Ed Helms
Val Kilmer
Russell Brand
Craig T. Nelson
Bernie Mac
Patrick Stewart
Seth Green
Ashton Kutcher
Randy Quaid
Wesley Snipes
David Oyelowo
Mark Strong
Rob Schneider
Jay Baruchel
Hayden Christensen
Ray Stevenson
Paul Bettany
Hugh Laurie
Chris Tucker
John Candy
Richard Attenborough
Chris O'Donnell
Benjamin Bratt
Common
Marlon Wayans
Albert Brooks
Aaron Paul
Macaulay Culkin
Sam Elliott
Taron Egerton
Jim Caviezel
Elvis Presley
Jonah Hill
Sung Kang
Jason Sudeikis
Josh Hartnett
Cillian Murphy
Billy Crudup
Anthony Mackie
John Barrymore
Timothy Olyphant
Josh Gad
Billy Zane
Luke Wilson
Peter Sarsgaard
Rhys Ifans
Topher Grace
Kevin Hart
Paul Dano
Bill Hader
Rob Lowe
Mel Blanc
David Spade
Rob Riggle
Lance Henriksen
Richard Jenkins
Emilio Estevez
Michael Ealy
Jamie Bell
Troy Baker
Danny McBride
Jonathan Rhys Meyers
Michael Cera
Bill Paxton
Ioan Gruffudd
Andrew Lincoln
Ezra Miller
Bill Pullman
Craig Robinson
Charlie Day
Andy Samberg
Garrett Hedlund
Cam Gigandet
John Krasinski
Kevin James
Christopher Reeve
James McAvoy
Rufus Sewell
Adam Driver
Ned Beatty
John Cleese
John Turturro
Jerry Lewis
