,Fixed-Threshold=0.5,Precision@threshold=0.5,Recall@threshold=0.5,F1-score@threshold=0.5
12,0.5,0.7446808508877822,0.9936908514215486,0.8513513021471905
13,0.5,0.7651991612651574,0.9999999997260274,0.8669833236003548
14,0.5,0.7650375938411584,0.9999999997542997,0.8668796099133428
15,0.5,0.7491228068861189,0.9999999997658079,0.8565696599841679
16,0.5,0.7541528237949913,0.9999999997797356,0.8598484356677598
17,0.5,0.75199999987968,0.9978768575376057,0.8576641844073034
18,0.5,0.7308868500411488,0.9896480329213979,0.8408090978607963
19,0.5,0.7211678831063989,0.9979797977781859,0.8372880867476329
20,0.5,0.7492917845964177,0.9943609020687292,0.8546041511727475
21,0.5,0.7133152172943865,0.9943181816298641,0.830696153754159
22,0.5,0.7473958332360162,0.9982608693916069,0.8548026314712037
23,0.5,0.7459526773666311,0.9999999998330551,0.8544935315358564
24,0.5,0.7157894736004925,0.9999999998366014,0.8343557794790114
25,0.5,0.7267508609957807,0.998422712776274,0.8411959644171726
26,0.5,0.730211817086933,0.9984756096038909,0.8435286053131101
27,0.5,0.7293729372134904,0.998493975753239,0.8429751577173475
28,0.5,0.7439153438366227,0.9999999998577526,0.8531552907804575
29,0.5,0.7306910568363119,0.999999999860918,0.8443922000839279
30,0.5,0.7452357070466163,0.9999999998654105,0.8540229394730509
31,0.5,0.7385496182501383,0.9987096772904891,0.849149704182285
32,0.5,0.7502287282021748,0.9975669098543106,0.8563968177526086
33,0.5,0.7340332457800496,0.9988095236906179,0.8461925885000852
34,0.5,0.726799653015889,0.9988081047677225,0.841365413005287
35,0.5,0.7179054053447714,0.999999999882353,0.8357914950221871
36,0.5,0.7351973683605922,0.9999999998881433,0.8473933160130304
37,0.5,0.7113071370720684,0.9988738737613881,0.8309133002820205
38,0.5,0.7194076382915504,0.9999999998916577,0.8368086547915176
39,0.5,0.7265151514601125,0.9989583332292752,0.8412280213481869
40,0.5,0.7049666419047467,0.9989495797270012,0.826597083098427
41,0.5,0.685776487613514,0.9978880674764639,0.8129031774547466
42,0.5,0.6900420756879353,0.9989847714721843,0.8162587653753451
43,0.5,0.7083047357097937,0.9990319456922524,0.8289156140338086
44,0.5,0.6933962263683695,0.999029126116599,0.8186157033554684
45,0.5,0.7063857800719956,0.999068901210515,0.8276127551110444
46,0.5,0.7108974358518655,0.9999999999098286,0.8310228063672678
47,0.5,0.6967984933649216,0.999099909901071,0.8210058686877729
48,0.5,0.6866873064590286,0.9990990990090901,0.8139449057858996
49,0.5,0.6801938218849065,0.9999999999109528,0.8096610909023149
50,0.5,0.6820330968864047,0.998269896107416,0.8103932101410638
51,0.5,0.6833333332940613,0.998320738791073,0.8113271437834698
52,0.5,0.6897522522134149,0.9983700080685924,0.8158507674675891
53,0.5,0.6825484764164793,0.9991889699108524,0.811059859553211
54,0.5,0.6814975582918341,0.9992044549722191,0.8103225323795451
55,0.5,0.6831210190720212,0.9984484095424011,0.8112196176383474
56,0.5,0.6756337299184876,0.9999999999234302,0.8064216869272625
57,0.5,0.6826196473207748,0.9999999999261993,0.8113771972393267
58,0.5,0.6941292550224899,0.9992897726563004,0.8192139253751015
59,0.5,0.6894865525335214,0.997876857678848,0.8155002408074816
60,0.5,0.682524271811528,0.9992892678749616,0.8110758098175174
61,0.5,0.6684135302206569,0.9999999999287241,0.8012563768292504
62,0.5,0.6829268292362605,0.9993136581331974,0.8113680208234206
63,0.5,0.6738830031932804,0.9999999999316472,0.8051733145393061
64,0.5,0.6780354706376519,0.9999999999329309,0.8081300330977179
65,0.5,0.688089887609524,0.9999999999346831,0.8152289186497657
66,0.5,0.6848404255015585,0.9993531694049577,0.812730093731423
67,0.5,0.6690079016387618,0.9993442622295512,0.8014724736114847
68,0.5,0.673856773051171,0.9999999999359794,0.8051545910319934
69,0.5,0.6677994902010281,0.9999999999363867,0.8008150309037134
70,0.5,0.680386392243579,0.9999999999382716,0.8097975023807187
71,0.5,0.6627955205034096,0.9993746090682066,0.7970074333071963
72,0.5,0.6621174524126503,0.9993757802122736,0.7965173649558455
73,0.5,0.6563912864506211,0.9999999999373825,0.7925557833778328
74,0.5,0.6668011294607987,0.9987915407251485,0.7997096761858163
75,0.5,0.657256461206471,0.9993954050181744,0.7929958743780968
76,0.5,0.6654970759974466,0.9999999999414176,0.799157255350265
77,0.5,0.6728110598819965,0.9999999999429223,0.8044076653745093
78,0.5,0.6574981160264696,0.9999999999426934,0.7933620798552015
79,0.5,0.6560296845767707,0.9999999999434389,0.7922921322695075
80,0.5,0.65761467887495,0.9994422754601537,0.7932713111009927
81,0.5,0.6453720507932714,0.999999999943757,0.7844693985708773
82,0.5,0.6597643698443497,0.9994591670633066,0.7948386617389784
83,0.5,0.6533613445149383,0.9994643813069382,0.7901756879201457
84,0.5,0.6523990334603936,0.9994711792173733,0.7894736363848334
85,0.5,0.6592159559608248,0.998437499947998,0.7941175991197984
86,0.5,0.6643998639692485,0.9999999999488229,0.7983656312647589
87,0.5,0.6632072313135853,0.9999999999495204,0.7975039777830235
88,0.5,0.6400662251443687,0.9994829368666244,0.7803794436914433
89,0.5,0.6553765208597377,0.9989974936842607,0.7915011435473911
90,0.5,0.6468292682716479,0.9999999999497234,0.7855449759652076
91,0.5,0.6435897435691157,0.9995022398706072,0.7829985875270383
92,0.5,0.6437144661830791,0.9990196077941657,0.7829427106647122
93,0.5,0.661249999979336,0.998113207500089,0.7954886738352112
94,0.5,0.6510191476018833,0.9990521326540734,0.7883320389562893
95,0.5,0.6377519853195556,0.9995213020105543,0.7786686080153027
96,0.5,0.6371065375109835,0.9995251661443721,0.7781884921642773
97,0.5,0.6438805969957051,0.9999999999536394,0.7833665766144042
98,0.5,0.6506485848864786,0.999547101404006,0.7882142379212402
