,FPR,TPR
0,0.0,0.0
1,1.0,1.0
2,0.8333333194444447,0.9764705870865052
3,0.8333333194444447,0.9999999991452992
4,0.9230769159763315,0.9999999992857144
5,0.9999999947368421,0.999999999390244
6,0.969696966758494,0.9999999994764398
7,0.9772727250516529,0.9999999995515695
8,0.9729729703433163,0.99999999962406
9,0.9836065557645794,0.9999999996138995
10,0.9710144913463559,0.9999999996515678
11,0.989130433707467,0.9999999996621621
12,0.9900990089206941,0.9999999996904024
13,0.9152542365124965,0.9936908514215486
14,0.9745762703605286,0.9999999997260274
15,0.9398496233534965,0.9999999997542997
16,0.9864864858199416,0.9999999997658079
17,0.9869281039301124,0.9999999997797356
18,0.9937499993789063,0.9999999997876857
19,0.9999999994413408,0.9999999997929606
20,0.9949238573629828,0.9999999997979797
21,0.9891304342450379,0.9999999998120301
22,0.9817351593690707,0.9999999998106062
23,0.9949999995025001,0.999999999826087
24,0.985714285244898,0.9999999998330551
25,0.9760956171409978,0.9999999998366014
26,0.9876543205812123,0.9999999998422714
27,0.9838709673452134,0.999999999847561
28,0.9920634916698161,0.9999999998493977
29,0.9880952377031368,0.9999999998577526
30,0.9851301111579441,0.999999999860918
31,0.9961389957543864,0.9999999998654105
32,0.992805755038559,0.9999999998709678
33,0.9963768112331968,0.9999999998783455
34,0.9903225803257023,0.9999999998809525
35,0.9875389405023243,0.9999999998808106
36,0.9940652816041349,0.999999999882353
37,0.9847094798211897,0.9999999998881433
38,0.9890109887392826,0.9999999998873874
39,0.9944903578527574,0.9999999998916577
40,0.994535518853952,0.9999999998958333
41,0.9851485146076364,0.9989495797270012
42,0.9999999997701149,0.9999999998944035
43,0.9977528087645499,0.9999999998984772
44,0.9930232555830178,0.9999999999031945
45,0.9999999997807018,0.9999999999029126
46,0.9977827048785404,0.99999999990689
47,0.9956140348693828,0.9999999999098286
48,0.9979466117047338,0.9999999999099909
49,0.9960784311772395,0.9990990990090901
50,0.9924812028209622,0.9999999999109528
51,0.9999999998165138,0.9999999999134948
52,0.9964028775186327,0.9999999999160368
53,0.9981981980183428,0.9999999999185003
54,0.9948186526779244,0.999999999918897
55,0.9949494947819951,0.9999999999204454
56,0.9966722128125338,0.9999999999224204
57,0.995238095080121,0.9999999999234302
58,0.9905660375800998,0.9999999999261993
59,0.996784565756144,0.9999999999289773
60,0.9937791600320717,0.9999999999292285
61,0.9939393937887971,0.9999999999289267
62,0.9985673351004918,0.9999999999287241
63,0.9985272458028679,0.9999999999313658
64,0.9985935300986507,0.9999999999316472
65,0.9957865167140749,0.9999999999329309
66,0.998563218247333,0.9999999999346831
67,0.9916434539008854,0.9993531694049577
68,0.9934296976355547,0.9999999999344262
69,0.9973649537552879,0.9999999999359794
70,0.9987309643402627,0.9999999999363867
71,0.9986928103269683,0.9999999999382716
72,0.9963325182156073,0.9999999999374609
73,0.9987893461260546,0.9999999999375779
74,0.9988109392391427,0.9999999999373825
75,0.9999999998795182,0.999999999939577
76,0.9988479261522065,0.9999999999395405
77,0.9988439305203649,0.9999999999414176
78,0.9988331387399262,0.9999999999429223
79,0.9989047096386742,0.9999999999426934
80,0.9989293360814852,0.9999999999434389
81,0.9978655281752545,0.9999999999442275
82,0.9959225279310987,0.999999999943757
83,0.9968684758875921,0.9999999999459167
84,0.9939819457378153,0.9999999999464381
85,0.9990089196234877,0.9999999999471179
86,0.998997995891884,0.9999999999479167
87,0.9969788518633456,0.9999999999488229
88,0.9970326408509365,0.9999999999495204
89,0.9990825687156805,0.9999999999482937
90,0.9999999999049429,0.9999999999498747
91,0.9972527471614236,0.9999999999497234
92,0.9919714539703861,0.9995022398706072
93,0.9999999999117387,0.9999999999509803
94,0.993583867919928,0.9995283018396449
95,0.9982378853746046,0.9995260663033401
96,0.9999999999159663,0.9999999999521303
97,0.9975103733612024,0.9999999999525166
98,0.9974979148459133,0.9999999999536394
99,0.9991575399326741,0.9999999999547102
